East Noble High School, Indiana*41.4347673*-85.25746620000001
F.W. Bishop Dwenger High School, Indiana*41.1318002*-85.1254925
Penn High School, Indiana*41.6789166*-86.1077188
Fairfield Jr-Sr High School, Indiana*41.517725*-85.7679462
Eastside Junior-Senior High School, Indiana*41.43152*-84.86328999999999
F.W. Northrop High School, Indiana*41.1457383*-85.1394507
S.B. Adams High School, Indiana*41.6670326*-86.2228372
Goshen High School, Indiana*41.5807053*-85.8230976
Fremont High School, Indiana*37.7741975*-122.209378
F.W. North Side High School, Indiana*32.7848415*-97.3712449
S.B. Career Academy, Indiana*41.7277848*-86.331558
Jimtown High School, Indiana*41.6372322*-86.02399640000002
Lakeland High School, Indiana*28.035489*-81.94002859999999
F.W. Snider High School, Indiana*41.1077269*-85.08243139999999
S.B. Clay High School, Indiana*41.7326017*-86.2383412
Northridge High School, Indiana*41.0949984*-111.9709849
Prairie Heights Sr High School, Indiana*41.639249*-85.2002749
Garrett High School, Indiana*41.348105*-85.12719299999999
S.B. Riley High School, Indiana*41.6544793*-86.24431299999999
NorthWood High School, Indiana*33.7342229*-117.7502612
West Noble High School, Indiana*41.4258661*-85.58130880000002
Homestead Senior High School, Indiana*25.4494387*-80.45916249999999
S.B. Saint Joseph's High School, Indiana*41.6813057*-86.2390061
Wawasee High School, Indiana*41.4179325*-85.75673119999999
Westview Jr-Sr High School, Indiana*41.6174014*-85.5397318
Lakewood Park Christian School, Indiana*41.3320724*-85.0466916
South Bend Washington High School, Indiana*41.67496999999999*-86.31422189999999
Leo Junior/Senior High School, Indiana*41.2198405*-85.017715
Whitko High School, Indiana*41.0829323*-85.63544209999999
Adams Central High School, Indiana*40.746696*-84.942426
Blackford High School, Indiana*40.4848916*-85.37228189999999
Alexandria-Monroe High School, Indiana*40.2520348*-85.6782961
Cowan High School, Indiana*40.1078972*-85.3931491
Bellmont Senior High School, Indiana*40.8355568*-84.9072224
Eastbrook High School, Indiana*40.5454527*-85.50523280000002
Anderson High School, Indiana*30.375657*-97.7527899
Delta High School, Indiana*40.278276*-85.34807239999999
Bluffton High School, Indiana*32.2521521*-80.8989751
Huntington North High School, Indiana*40.8918853*-85.5105274
Anderson Preparatory Academy, Indiana*40.0864699*-85.6804128
Jay County High School, Indiana*40.4297071*-85.0237727
F.W. Canterbury, Indiana*41.0540212*-85.2119561
Madison-Grant High School, Indiana*40.384119*-85.67368549999999
Blue River Valley Jr-Sr High School, Indiana*40.001838*-85.328867
Monroe Central Jr-Sr High School, Indiana*40.191922*-85.1676079
F.W. Bishop Luers High School, Indiana*41.0333173*-85.13349219999999
Marion High School, Indiana*40.5387549*-85.6686289
Daleville Jr/Sr High School, Indiana*40.1184352*-85.5546521
Muncie Burris Laboratory School, Indiana*40.1967204*-85.41227459999999
F.W. South Side High School, Indiana*41.05239*-85.1367542
Mississinewa High School, Indiana*40.4966375*-85.61341929999999
Elwood Community High School, Indiana*40.2898005*-85.835292
Muncie Central High School, Indiana*40.2011017*-85.3877266
F.W. Wayne High School, Indiana*41.0007198*-85.1401401
Northfield Jr-Sr High School, Indiana*40.8553665*-85.79578219999999
Frankton Jr-Sr High School, Indiana*40.2207185*-85.7727518
Randolph Southern Jr-Sr High Sch, Indiana*40.052241*-84.9455942
Heritage Jr/Sr High School, Indiana*40.975684*-84.96250700000002
Oak Hill High School, Indiana*44.1353246*-70.05649629999999
Lapel Sr High School, Indiana*40.0773686*-85.8404654
Union (Modoc) Junior & High School, Indiana*40.0470503*-85.1413044
New Haven High School, Indiana*41.0652957*-85.0121387
Southern Wells Jr-Sr High Sch, Indiana*40.6076036*-85.27987
Liberty Christian School, Indiana*33.0835096*-97.19111199999999
Union City Community High Sch, Indiana*40.2041946*-84.81485289999999
Norwell High School, Indiana*42.1563265*-70.83752
Southwood Jr-Sr High School, Indiana*40.7401174*-85.78124079999999
Mt. Vernon (Fortville) High School, Indiana*39.901374*-85.84411
Wapahani High School, Indiana*40.1676513*-85.2639447
Smith Academy for Excellence, Indiana*41.0756452*-85.1485764
Wabash High School, Indiana*40.806979*-85.8250889
Pendleton Heights High School, Indiana*39.9973648*-85.7353144
Wes-Del Middle/Senior High School, Indiana*40.2801027*-85.49961809999999
South Adams High School, Indiana*40.6457215*-84.9600497
Shenandoah High School, Indiana*40.0057614*-85.5255344
Winchester Community High School, Indiana*40.1810243*-84.97506829999999
Woodlan Jr/Sr High School, Indiana*41.1235004*-84.91912719999999
Yorktown High School, Indiana*38.9026941*-77.14087649999999
Avon highschool, Indiana*39.7389748*-86.3879795
Bethesda Christian highschool, Indiana*32.8301515*-97.28915909999999
Brownsburg highschool, Indiana*39.8299773*-86.38797079999999
Cascade highschool, Indiana*47.924838*-122.221742
Cloverdale highschool, Indiana*39.5119005*-86.79126769999999
Danville Community highschool, Indiana*39.7569997*-86.5401579
Greencastle highschool, Indiana*39.6431741*-86.8433368
North Putnam highschool, Indiana*39.7892971*-86.8010151
Plainfield highschool, Indiana*40.6108308*-74.4133568
South Putnam highschool, Indiana*39.5828639*-86.8158314
Tri-West Hendricks highschool, Indiana*39.877131*-86.54208539999999
Ben Davis highschool, Indiana*39.784335*-86.291011
Covenant Christian (Indpls) highschool, Indiana*39.7930563*-86.29305839999999
Decatur Central highschool, Indiana*39.6877735*-86.27685989999999
Herron highschool, Indiana*39.7887861*-86.1552952
Indiana Math & Science Academy highschool, Indiana*39.8898852*-86.1209423
Indianapolis Crispus Attucks highschool, Indiana*39.7828316*-86.1691992
Indianapolis Northwest highschool, Indiana*39.81465110000001*-86.25855399999999
Indianapolis Shortridge highschool, Indiana*39.8181711*-86.15562729999999
Indianapolis George Washington highschool, Indiana*39.7655047*-86.1991647
International School of Indiana highschool, Indiana*39.834057*-86.186585
Pike highschool, Indiana*39.8755913*-86.2553787
Providence Cristo Rey highschool, Indiana*39.7676282*-86.2024856
Speedway highschool, Indiana*39.80084*-86.252904
Zionsville highschool, Indiana*39.9587127*-86.2729923
Carmel highschool, Indiana*39.9800196*-86.1194606
Fishers highschool, Indiana*39.97743639999999*-85.9671656
Guerin Catholic highschool, Indiana*40.010302*-86.08685
Hamilton Heights highschool, Indiana*40.1655542*-86.01554820000001
Hamilton Southeastern highschool, Indiana*39.9705991*-85.91720839999999
Lebanon highschool, Indiana*36.2050504*-86.332849
Noblesville highschool, Indiana*40.0564429*-85.99788989999999
Sheridan highschool, Indiana*39.82688419999999*-82.3799798
Tindley highschool, Indiana*39.8297603*-86.1145682
Tipton highschool, Indiana*40.2739755*-86.04006860000001
University highschool, Indiana*38.66508779999999*-90.3293029
Westfield highschool, Indiana*40.0521817*-86.1297922
